[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Analysis started at: 2025-11-09 11:14:26 AM
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | solc version: v0.4.24
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Callgraph generation started!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Value Range Analysis started
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Generating return summary for pay
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Return summary generated for pay
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Range graph generated
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Processed function pay
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Generating return summary for deposit
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Return summary generated for deposit
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Range graph generated
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Processed function deposit
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Value Range Analysis took 0.002508 seconds
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Dependency detection started!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | DAO dependency detected in file Parameter_ree1.sol in contract Parameter_ree1 in by composing functions pay and pay
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | TOD dependency detected in file Parameter_ree1.sol in contract Parameter_ree1 in by composing functions pay and pay
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | TOD dependency detected in file Parameter_ree1.sol in contract Parameter_ree1 in by composing functions pay and deposit
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Dependency detection finished!
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Static Analysis took 0.256192 seconds
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Dependency exists
[INFO] | 2025-11-09 11:14:26 AM | analyzer.Parameter_ree1 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:14:28 AM | analyzer.Parameter_ree1 | Symbolic execution took 1.621174 seconds
[INFO] | 2025-11-09 11:14:28 AM | analyzer.Parameter_ree1 | Symbolic execution finished!
[INFO] | 2025-11-09 11:14:28 AM | analyzer.Parameter_ree1 | Analysis finished!
[INFO] | 2025-11-09 11:14:28 AM | analyzer.Parameter_ree1 | Analysis took 1.881575 seconds
[INFO] | 2025-11-09 11:14:28 AM | analyzer.Parameter_ree1 | Analysis finished at: 2025-11-09 11:14:28 AM
