[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Analysis started at: 2025-11-09 11:14:01 AM
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | solc version: v0.4.24
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Callgraph generation started!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Callgraph generation finished!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Value Range Analysis started
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Range graph generated
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Processed function withdraw
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Generating return summary for deposit
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Return summary generated for deposit
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Range graph generated
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Processed function deposit
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Value Range Analysis took 0.003171 seconds
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Value Range Analysis finished
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Dependency detection started!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | DAO dependency detected in file Mutexes_safe2.sol in contract Mutexes_safe2 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | DAO dependency detected in file Mutexes_safe2.sol in contract Mutexes_safe2 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | TOD dependency detected in file Mutexes_safe2.sol in contract Mutexes_safe2 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | TOD dependency detected in file Mutexes_safe2.sol in contract Mutexes_safe2 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Dependency detection finished!
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Static Analysis took 0.347354 seconds
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Dependency exists
[INFO] | 2025-11-09 11:14:01 AM | analyzer.Mutexes_safe2 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:14:03 AM | analyzer.Mutexes_safe2 | Symbolic execution took 1.809290 seconds
[INFO] | 2025-11-09 11:14:03 AM | analyzer.Mutexes_safe2 | Symbolic execution finished!
[INFO] | 2025-11-09 11:14:03 AM | analyzer.Mutexes_safe2 | Analysis finished!
[INFO] | 2025-11-09 11:14:03 AM | analyzer.Mutexes_safe2 | Analysis took 2.162531 seconds
[INFO] | 2025-11-09 11:14:03 AM | analyzer.Mutexes_safe2 | Analysis finished at: 2025-11-09 11:14:03 AM
