[INFO] | 2025-11-09 11:20:27 AM | analyzer.CallEmit_safe1 | Analysis started at: 2025-11-09 11:20:27 AM
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | solc version: v0.5.0
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Callgraph generation started!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Value Range Analysis started
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Processed function withdraw
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Generating return summary for deposit
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Return summary generated for deposit
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Processed function deposit
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Value Range Analysis took 0.002090 seconds
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Dependency detection started!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | TOD dependency detected in file CallEmit_safe1.sol in contract CallEmit_safe1 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | TOD dependency detected in file CallEmit_safe1.sol in contract CallEmit_safe1 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Dependency detection finished!
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Static Analysis took 0.192580 seconds
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Dependency exists
[INFO] | 2025-11-09 11:20:28 AM | analyzer.CallEmit_safe1 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:20:29 AM | analyzer.CallEmit_safe1 | Symbolic execution took 0.845210 seconds
[INFO] | 2025-11-09 11:20:29 AM | analyzer.CallEmit_safe1 | Symbolic execution finished!
[INFO] | 2025-11-09 11:20:29 AM | analyzer.CallEmit_safe1 | Analysis finished!
[INFO] | 2025-11-09 11:20:29 AM | analyzer.CallEmit_safe1 | Analysis took 1.039778 seconds
[INFO] | 2025-11-09 11:20:29 AM | analyzer.CallEmit_safe1 | Analysis finished at: 2025-11-09 11:20:29 AM
