[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Analysis started at: 2025-11-09 11:21:49 AM
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | solc version: v0.5.0
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Callgraph generation started!
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Value Range Analysis started
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Generating return summary for transfer
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Return summary generated for transfer
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Processed function transfer
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Generating return summary for deposit
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Return summary generated for deposit
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Range graph generated
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Processed function deposit
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Range graph generated
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Processed function withdraw
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Value Range Analysis took 0.009496 seconds
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:21:49 AM | analyzer.Cast_ree1 | Dependency detection started!
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | DAO dependency detected in file Cast_ree1.sol in contract Cast_ree1 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | Dependency detection finished!
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | Static Analysis took 0.221181 seconds
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | Dependency exists
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | Symbolic execution took 0.532203 seconds
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | Symbolic execution finished!
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | Analysis finished!
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | Analysis took 0.755214 seconds
[INFO] | 2025-11-09 11:21:50 AM | analyzer.Cast_ree1 | Analysis finished at: 2025-11-09 11:21:50 AM
